"Date","Price","Open","High","Low","Vol.","Change %"
"08/16/2023","7.3352","7.3239","7.3432","7.3039","","0.17%"
"08/17/2023","7.3027","7.3351","7.3501","7.2969","","-0.44%"
"08/18/2023","7.3068","7.3028","7.3192","7.2822","","0.06%"
"08/21/2023","7.2872","7.3075","7.3366","7.2780","","-0.27%"
"08/22/2023","7.3044","7.2883","7.3170","7.2685","","0.24%"
"08/23/2023","7.2856","7.3064","7.3081","7.2823","","-0.26%"
"08/24/2023","7.2802","7.2868","7.2952","7.2675","","-0.07%"
"08/25/2023","7.2939","7.2808","7.3021","7.2797","","0.19%"
"08/28/2023","7.2929","7.2940","7.3060","7.2694","","-0.01%"
"08/29/2023","7.2832","7.2931","7.3112","7.2798","","-0.13%"
"08/30/2023","7.3022","7.2832","7.3054","7.2806","","0.26%"
"08/31/2023","7.2746","7.3033","7.3038","7.2682","","-0.38%"
"09/01/2023","7.2669","7.2761","7.2783","7.2387","","-0.11%"
"09/04/2023","7.2753","7.2677","7.2793","7.2544","","0.12%"
"09/05/2023","7.3042","7.2754","7.3122","7.2739","","0.40%"
"09/06/2023","7.3195","7.3042","7.3284","7.3012","","0.21%"
"09/07/2023","7.3409","7.3204","7.3459","7.3184","","0.29%"
"09/08/2023","7.3650","7.3423","7.3684","7.3341","","0.33%"
"09/11/2023","7.3015","7.3657","7.3660","7.2915","","-0.86%"
"09/12/2023","7.3007","7.3025","7.3149","7.2923","","-0.01%"
"09/13/2023","7.2709","7.3015","7.3064","7.2688","","-0.41%"
"09/14/2023","7.2890","7.2719","7.2975","7.2605","","0.25%"
"09/15/2023","7.2796","7.2901","7.2959","7.2592","","-0.13%"
"09/18/2023","7.2901","7.2810","7.2991","7.2718","","0.14%"
"09/19/2023","7.3036","7.2917","7.3081","7.2882","","0.19%"
"09/20/2023","7.3059","7.3036","7.3162","7.2879","","0.03%"
"09/21/2023","7.3142","7.3072","7.3219","7.3032","","0.11%"
"09/22/2023","7.2987","7.3142","7.3181","7.2947","","-0.21%"
"09/25/2023","7.3159","7.2989","7.3185","7.2935","","0.24%"
"09/26/2023","7.3092","7.3166","7.3178","7.3055","","-0.09%"
"09/27/2023","7.3216","7.3101","7.3271","7.3003","","0.17%"
"09/28/2023","7.2934","7.3225","7.3280","7.2908","","-0.39%"
"09/29/2023","7.2955","7.2945","7.2993","7.2805","","0.03%"
"10/02/2023","7.3214","7.2964","7.3235","7.2960","","0.36%"
"10/03/2023","7.3191","7.3227","7.3317","7.3120","","-0.03%"
"10/04/2023","7.3167","7.3196","7.3302","7.3092","","-0.03%"
"10/05/2023","7.3046","7.3179","7.3248","7.3029","","-0.17%"
"10/06/2023","7.3076","7.3057","7.3221","7.2982","","0.04%"
"10/09/2023","7.2913","7.3084","7.3194","7.2839","","-0.22%"
"10/10/2023","7.2855","7.2924","7.3018","7.2695","","-0.08%"
"10/11/2023","7.3002","7.2874","7.3053","7.2813","","0.20%"
"10/12/2023","7.3097","7.3015","7.3135","7.2891","","0.13%"
"10/13/2023","7.3115","7.3101","7.3145","7.3008","","0.02%"
"10/16/2023","7.3075","7.3110","7.3197","7.3063","","-0.05%"
"10/17/2023","7.3248","7.3087","7.3309","7.3081","","0.24%"
"10/18/2023","7.3276","7.3264","7.3305","7.3045","","0.04%"
"10/19/2023","7.3356","7.3277","7.3475","7.3214","","0.11%"
"10/20/2023","7.3260","7.3366","7.3397","7.3212","","-0.13%"
"10/23/2023","7.3097","7.3267","7.3336","7.3089","","-0.22%"
"10/24/2023","7.3124","7.3105","7.3250","7.3012","","0.04%"
"10/25/2023","7.3287","7.3141","7.3314","7.3065","","0.22%"
"10/26/2023","7.3237","7.3299","7.3339","7.3226","","-0.07%"
"10/27/2023","7.3327","7.3242","7.3358","7.3154","","0.12%"
"10/30/2023","7.3239","7.3314","7.3347","7.3225","","-0.12%"
"10/31/2023","7.3418","7.3253","7.3446","7.3210","","0.24%"
"11/01/2023","7.3346","7.3415","7.3436","7.3288","","-0.10%"
"11/02/2023","7.3281","7.3290","7.3349","7.3219","","-0.09%"
"11/03/2023","7.3245","7.3276","7.3309","7.3188","","-0.05%"
